Date,close,Index (MSI),MACD
16-6-2019,"8,978.80",1.82,11.26
17-6-2019,"9,333.16",5.12,11.31
18-6-2019,"9,080.53",8.27,11.48
19-6-2019,"9,278.89",7.87,11.74
20-6-2019,"9,533.85",10.85,11.77
21-6-2019,"10,227.86",9.90,11.90
22-6-2019,"10,667.11",10.29,11.79
23-6-2019,"10,830.47",14.13,11.60
24-6-2019,"11,029.39",16.29,11.63
25-6-2019,"11,757.89",20.42,11.69
26-6-2019,"12,929.53",24.70,11.93
27-6-2019,"11,151.19",25.59,12.33
28-6-2019,"12,365.78",20.48,12.57
29-6-2019,"11,868.74",20.66,12.21
30-6-2019,"10,754.92",23.37,11.80
1-7-2019,"10,545.52",20.32,11.56
2-7-2019,"10,832.30",17.07,11.00
3-7-2019,"11,977.74",12.36,10.17
4-7-2019,"11,143.87",12.12,9.04
5-7-2019,"11,001.41",8.01,8.02
6-7-2019,"11,238.37",2.02,6.81
7-7-2019,"11,475.04",-3.26,5.30
8-7-2019,"12,296.20",-4.71,3.64
9-7-2019,"12,569.82",-5.67,2.18
10-7-2019,"12,097.61",-9.00,0.94
11-7-2019,"11,340.29",-16.35,-0.31
12-7-2019,"11,796.35",-27.60,-1.88
13-7-2019,"11,376.28",-32.73,-3.98
14-7-2019,"10,299.70",-41.29,-5.99
15-7-2019,"10,848.72",-54.05,-8.18
16-7-2019,"9,421.22",-62.24,-10.82
17-7-2019,"9,700.79",-75.07,-13.41
18-7-2019,"10,645.53",-81.31,-16.32
19-7-2019,"10,536.04",-81.18,-18.91
20-7-2019,"10,759.80",-82.22,-20.71
21-7-2019,"10,594.06",-78.33,-21.97
22-7-2019,"10,325.69",-78.77,-22.40
23-7-2019,"9,842.62",-81.69,-22.51
24-7-2019,"9,769.06",-88.52,-22.58
25-7-2019,"9,888.96",-91.87,-22.91
26-7-2019,"9,848.24",-94.32,-23.19
27-7-2019,"9,477.86",-93.38,-23.33
28-7-2019,"9,530.33",-97.86,-23.10
29-7-2019,"9,498.63",-99.95,-23.02
30-7-2019,"9,593.95",-101.18,-22.86
31-7-2019,"10,085.57",-101.46,-22.57
1-8-2019,"10,408.14",-98.55,-22.10
2-8-2019,"10,530.71",-96.21,-21.26
3-8-2019,"10,817.38",-95.37,-20.17
4-8-2019,"10,977.97",-92.93,-19.02
5-8-2019,"11,808.59",-92.02,-17.70
6-8-2019,"11,464.66",-88.82,-16.40
7-8-2019,"11,970.46",-90.59,-14.94
